,dispersions,dispersions_norm,highly_variable,means,n_cells,var_names
20217,2.16161708226229,-0.2821072041988373,0,0.01596347756729249,1139,ZNF425
20218,2.2868014047828633,-0.025925463065505028,0,0.20782623019644259,11502,ZNF426
20219,2.4048672925469092,-0.531770646572113,0,0.9313855685491981,56745,ZNF428
20220,2.330802063754936,0.06411908566951752,0,0.1351280701586204,6381,ZNF429
20221,2.282131292021104,-0.03548255190253258,0,0.1174996040478441,5874,ZNF43
20222,2.4499846701325234,-0.15688803791999817,0,0.5020582891345278,22820,ZNF430
20223,2.4129838830033727,0.23229894042015076,0,0.31204962590758395,16024,ZNF431
20224,2.225641163295331,-0.1510860025882721,0,0.06956516458786172,4006,ZNF432
20225,2.131057359470559,-0.34464573860168457,0,0.022152471541102656,1931,ZNF433
20226,2.147064728232884,-0.3118876814842224,0,0.02879315619343072,2425,ZNF436
20227,2.1910483251225155,-0.2218780368566513,0,0.018040148383382266,1177,ZNF436-AS1
20228,2.0585121821317967,-0.49310481548309326,0,0.0756858820744164,5781,ZNF438
20229,2.309096007231697,0.01969902031123638,0,0.15220598624008058,6274,ZNF439
20230,2.3286451587596932,0.059705112129449844,0,0.2684554795276606,13334,ZNF44
20231,2.2524751242279435,-0.09617201238870621,0,0.0696103193489785,4197,ZNF440
20232,2.413097243728362,0.23253092169761658,0,0.04228355232286895,1645,ZNF441
20233,2.245982702255307,-0.10945833474397659,0,0.02393446252459616,1274,ZNF442
20234,2.3336129593536894,0.06987140327692032,0,0.026076927072308104,1403,ZNF443
20235,2.129507683076789,-0.3478170335292816,0,0.2547195426918745,17870,ZNF444
20236,2.31383135280431,0.029389603063464165,0,0.1077632714685158,5865,ZNF445
20237,2.193743819605455,-0.2163618803024292,0,0.07603524297672436,5173,ZNF446
20238,2.372900588197576,0.15027102828025818,0,0.032052221804733785,2058,ZNF449
20239,2.28820121507876,-0.023060841485857964,0,0.05205813787413603,3166,ZNF45
20240,2.3649964590093226,0.13409572839736938,0,0.3897380021034794,22374,ZNF451
20241,1.8960808752127263,-0.8255101442337036,0,0.007437405775227844,791,ZNF454
20242,2.245273437600498,-0.11090980470180511,0,0.03243188019361748,1630,ZNF460
20243,2.313087312499351,0.027866972610354424,0,0.04869289400049281,2481,ZNF461
20244,2.0716780356443665,-0.46616172790527344,0,0.07920680526251206,6888,ZNF462
20245,2.034154810143618,-0.5429506301879883,0,0.13565902804119473,10603,ZNF467
20246,2.180278839340199,-0.24391710758209229,0,0.10166334072355995,6982,ZNF468
20247,2.105807595031926,-0.3963177502155304,0,0.014010006025267007,922,ZNF469
20248,2.2772357891391017,-0.04550088569521904,0,0.028368247673420294,1903,ZNF470
20249,2.2438006687503216,-0.11392372846603394,0,0.01757629452252142,1364,ZNF471
20250,2.2333810425439187,-0.13524682819843292,0,0.03758456004180113,2756,ZNF473
20251,1.9533328526720293,-0.7083476185798645,0,0.0025948805949865842,186,ZNF474
20252,2.2069935880013283,-0.18924707174301147,0,0.10060826523705221,6342,ZNF48
20253,2.301253685567881,0.003650208469480276,0,0.31848731308389694,18105,ZNF480
